epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8454,1.60952,3.53455,1.23006,0.4382,0.07031,0.06469,0.03011,2.24469,3.55291,1.55727,0.00332921,0.00332921,0.00332921
2,172.633,1.56856,2.49771,1.1595,0.73193,0.06045,0.06508,0.0302,2.35867,2.88345,1.58244,0.00659658,0.00659658,0.00659658
3,252.542,1.66363,2.18559,1.21089,0.48321,0.06884,0.05303,0.02609,2.55817,3.54029,1.745,0.00979796,0.00979796,0.00979796
4,331.866,1.70629,1.93194,1.24243,0.53055,0.0616,0.07503,0.03913,2.54146,3.11506,1.57596,0.009703,0.009703,0.009703
5,409.901,1.69332,1.78532,1.25218,0.6628,0.07425,0.08552,0.04537,2.47664,2.86744,1.60305,0.009604,0.009604,0.009604
6,488.535,1.60996,1.66537,1.2186,0.63019,0.10084,0.105,0.04327,2.54751,2.91399,1.5841,0.009505,0.009505,0.009505
7,567.781,1.55734,1.56185,1.18684,0.55553,0.12231,0.15772,0.06663,2.42901,2.9446,1.58087,0.009406,0.009406,0.009406
8,645.394,1.52396,1.50717,1.17703,0.56663,0.10247,0.16534,0.06819,2.21911,2.5676,1.48511,0.009307,0.009307,0.009307
9,722.502,1.48486,1.44977,1.15545,0.5763,0.10826,0.10047,0.0573,2.26518,2.70139,1.52661,0.009208,0.009208,0.009208
10,801.455,1.45521,1.42329,1.15033,0.56815,0.11385,0.14467,0.06542,2.2628,2.79669,1.56059,0.009109,0.009109,0.009109
11,881.679,1.43568,1.40318,1.13661,0.77992,0.06854,0.1148,0.05674,2.3097,2.67159,1.50156,0.00901,0.00901,0.00901
12,960.318,1.41444,1.37621,1.1403,0.6086,0.1591,0.12807,0.0636,2.1938,2.55769,1.48654,0.008911,0.008911,0.008911
13,1039.59,1.38999,1.33775,1.13216,0.60486,0.13486,0.14025,0.06722,2.16366,2.59092,1.44445,0.008812,0.008812,0.008812
14,1120.43,1.38377,1.3061,1.11855,0.63268,0.13735,0.20434,0.09634,2.1247,2.44692,1.41531,0.008713,0.008713,0.008713
15,1201.07,1.36689,1.29628,1.11411,0.6792,0.13709,0.19848,0.08811,2.19706,2.57828,1.45937,0.008614,0.008614,0.008614
16,1281.85,1.34198,1.26259,1.09929,0.66955,0.12346,0.11607,0.06398,2.20608,2.46676,1.46554,0.008515,0.008515,0.008515
17,1361.31,1.35057,1.25567,1.09621,0.6645,0.14,0.13151,0.07444,2.24708,2.49243,1.46709,0.008416,0.008416,0.008416
18,1441.38,1.33238,1.2384,1.09438,0.64669,0.10499,0.18508,0.0846,2.14906,2.39316,1.40438,0.008317,0.008317,0.008317
19,1521.87,1.29153,1.18566,1.07116,0.74252,0.10444,0.14192,0.06876,2.10221,2.38451,1.41914,0.008218,0.008218,0.008218
20,1602.56,1.29791,1.1823,1.07665,0.74098,0.13858,0.15772,0.07717,2.0966,2.38359,1.39669,0.008119,0.008119,0.008119
21,1681.17,1.28566,1.17163,1.07339,0.63039,0.15551,0.17841,0.08215,2.12555,2.42452,1.40234,0.00802,0.00802,0.00802
22,1760.48,1.27538,1.16231,1.06946,0.51551,0.14632,0.13804,0.07148,2.07101,2.37659,1.40748,0.007921,0.007921,0.007921
23,1838.26,1.27377,1.14839,1.06326,0.63692,0.15445,0.1426,0.07738,2.08424,2.35853,1.39129,0.007822,0.007822,0.007822
24,1916.85,1.26349,1.15063,1.06032,0.64239,0.14332,0.13531,0.07375,2.08079,2.39206,1.41807,0.007723,0.007723,0.007723
25,1995.12,1.24886,1.11648,1.04927,0.85897,0.10099,0.17292,0.08526,2.04838,2.36685,1.35852,0.007624,0.007624,0.007624
26,2072.85,1.23945,1.09224,1.05007,0.698,0.14596,0.17036,0.09604,2.1011,2.31454,1.39763,0.007525,0.007525,0.007525
27,2151.08,1.24946,1.11872,1.0572,0.71179,0.11541,0.15794,0.07803,2.14404,2.4063,1.38746,0.007426,0.007426,0.007426
28,2229.07,1.21549,1.08837,1.03962,0.42865,0.21463,0.15967,0.07865,2.05345,2.37582,1.39249,0.007327,0.007327,0.007327
29,2307.07,1.20892,1.05866,1.03071,0.45929,0.23107,0.18635,0.08999,2.05943,2.36202,1.42958,0.007228,0.007228,0.007228
30,2385.01,1.19586,1.05144,1.03063,0.67627,0.1665,0.25146,0.10308,2.07462,2.36062,1.38303,0.007129,0.007129,0.007129
